Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR03;ZAR CREIL;FR18043;Faiencerie Creil;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;7.8;7.7708333333;µg-m3;100.0;100;100.0;A;1;49.259552;2.474397
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR18045;Roye;Rurale près des villes;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;5.9;5.8791666667;µg-m3;100.0;100;100.0;A;1;49.696697;2.801139
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR02;ZAR AMIENS;FR18053;St Pierre Amiens;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;3.1;3.0916666667;µg-m3;100.0;100;100.0;A;1;49.901667;2.304597
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR18057;Neuilly-Saint-Front;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;5.4;5.35;µg-m3;100.0;100;100.0;A;1;49.174931;3.260819
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR02;ZAR AMIENS;FR18079;TRAFIC AMIENS;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;6.9;6.8541666667;µg-m3;100.0;100;100.0;A;1;49.87722;2.2825
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR18080;TRAF Saint Quent 14;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;8.1;8.0708333333;µg-m3;100.0;100;100.0;A;1;49.84282;3.281439
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR18089;Trafic Beauvais 1;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;8.2;8.2444444444;µg-m3;38.0;100;38.0;N;-1;49.435932;2.084292
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR28028;Bethune Stade;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;0.0;0.0;µg-m3;0.0;100;0.0;N;-1;50.535385;2.635692
2023/01/04 00:00:00;2023/01/04 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR06003;Douai Theuriet;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;4.2;4.1708333333;µg-m3;100.0;100;100.0;A;1;50.37822;3.06586
2023/01/04 00:00:00;2023/01/04 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR06006;Valenciennes Wallon;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;3.6;3.6083333333;µg-m3;100.0;100;100.0;R;1;50.36425;3.52273
2023/01/04 00:00:00;2023/01/04 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR06011;Denain Villars;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;3.1;3.1333333333;µg-m3;100.0;100;100.0;A;1;50.32276;3.39593
2023/01/04 00:00:00;2023/01/04 23:59:59;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR06133;Cartignies;Rurale près des villes;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;2.8;2.8083333333;µg-m3;100.0;100;100.0;A;1;50.09225;3.85003
2023/01/04 00:00:00;2023/01/04 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10004;Malo-les-Bains;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;8.3;8.3291666667;µg-m3;100.0;100;100.0;A;1;51.04858;2.42004
2023/01/04 00:00:00;2023/01/04 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10016;Calais Berthelot;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;7.1;7.0666666667;µg-m3;100.0;100;100.0;A;1;50.94729;1.84308
2023/01/04 00:00:00;2023/01/04 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10030;Boulogne Diderot;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;8.8;8.8;µg-m3;100.0;100;100.0;A;1;50.717029;1.605913
2023/01/04 00:00:00;2023/01/04 23:59:59;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR10132;Campagne les B.;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;5.4;5.3791666667;µg-m3;100.0;100;100.0;A;1;50.61048;1.99145
2023/01/04 00:00:00;2023/01/04 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG02;ZAG LILLE;FR11007;Lille Leeds;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;0.0;0.0;µg-m3;0.0;100;0.0;N;-1;50.6407944;3.074772
2023/01/04 00:00:00;2023/01/04 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG02;ZAG LILLE;FR11034;Roubaix Serres;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;4.6;4.5875;µg-m3;100.0;100;100.0;A;1;50.706535;3.18066
2023/01/04 00:00:00;2023/01/04 23:59:59;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR18039;Arrest;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;5.3;5.2666666667;µg-m3;100.0;100;100.0;A;1;50.129448;1.610833
2023/01/04 00:00:00;2023/01/04 23:59:59;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR18042;P. Roth St Quentin;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;2.7;2.6666666667;µg-m3;100.0;100;100.0;A;1;49.851334;3.284
